"frame_name","balle_xtl","balle_ytl","balle_xbr","balle_ybr","raquette_xtl","raquette_ytl","raquette_xbr","raquette_ybr"
"900","","","","","353,37","150,96","402,69","184,04"
"905","","","","","354,57","150,96","404,5","186,45"
"910","","","","","354,57","147,95","406,9","185,85"
"915","","","","","353,97","149,16","405,1","185,25"
"920","","","","","352,41","152,71","402,93","185,79"
"925","","","","","353,97","147,35","406,3","184,65"
"930","","","","","351,56","151,56","404,5","182,24"
"935","","","","","353,97","149,16","402,69","188,86"
"940","","","","","350,96","147,95","404,5","187,05"
"945","","","","","352,77","149,16","403,29","185,85"
"950","","","","","350,96","152,17","403,89","189,46"
"955","","","","","352,77","149,16","405,1","185,85"
"960","","","","","353,97","148,56","404,5","186,45"
"965","","","","","350,96","151,56","403,29","187,05"
"970","","","","","351,56","149,76","404,5","189,46"
"975","","","","","340,74","124,5","392,47","175,62"
"980","","","","","277,58","79,98","326,9","134,72"
"985","","","","","217,43","73,37","250,51","138,33"
"990","","","","","172,32","85,4","218,63","144,35"
"995","","","","","142,24","116,68","195,77","169,61"
"1000","","","","","138,03","129,91","195,77","179,83"
"1005","","","","","132,62","137,73","195,17","185,85"
"1010","","","","","144,04","137,73","203,59","187,65"
"1015","","","","","150,06","140,74","205,4","190,66"
"1020","","","","","156,07","139,53","212,62","190,06"
"1025","","","","","162,09","142,54","217,43","192,47"
"1030","","","","","170,51","145,55","223,44","197,88"
"1035","","","","","215,62","136,53","247,5","178,63"
"1040","","","","","285,4","131,11","333,52","188,86"
"1045","302,24","58,33","343,14","168,41","296,23","159,98","342,54","203,29"
"1050","298,03","190,06","326,3","246,6","296,83","157,58","344,95","211,11"
"1055","304,65","128,11","324,5","148,56","293,22","114,87","352,77","160,59"
"1060","","","","","255,92","54,12","338,33","119,08"
"1065","","","","","248,71","81,79","331,11","152,77"
"1070","","","","","259,53","131,71","329,91","192,47"
"1075","","","","","260,74","150,36","320,29","212,92"
"1080","","","","","257,73","168,41","292,62","226,75"
"1085","","","","","254,72","173,22","278,18","228,56"
"1090","","","","","239,68","171,41","281,79","218,93"
"1095","","","","","252,92","169,01","286","221,94"
"1100","177,73","239,98","223,44","327,8","235,47","188,26","288,41","234,57"
"1105","261,34","94,42","287,2","122,69","236,92","150,9","298,27","201,43"
"1110","287,8","21,04","313,67","76,98","224,04","65,55","311,86","136,53"
"1115","","","","","239,68","18,63","321,49","103,44"
"1120","","","","","251,71","54,12","333,52","138,93"
"1125","","","","","278,18","123,89","340,74","184,04"
"1130","","","","","264,95","181,04","307,65","226,15"
"1135","","","","","260,14","179,83","298,03","229,76"
"1140","","","","","279,38","162,99","320,29","215,32"
"1145","","","","","296,83","159,38","352,77","211,11"
"1150","306,45","217,73","331,11","278,48","310,66","166,6","355,77","212,32"
"1155","308,26","172,01","323,89","199,68","299,23","157,58","348,56","203,89"
"1160","379,83","36,07","418,93","78,78","267,95","113,67","326,3","164,8"
"1165","","","","","272,77","139,53","326,3","182,24"
"1170","","","","","270,96","157,58","323,89","208,11"
"1175","","","","","260,74","169,61","311,86","220,14"
"1180","","","","","251,71","174,42","299,83","220,14"
"1185","","","","","238,48","178,63","278,78","224,35"
"1190","","","","","228,26","179,83","258,33","226,15"
"1195","","","","","207,8","192,47","247,5","236,38"
"1200","","","","","209,61","199,68","250,51","242,39"
"1205","","","","","221,04","206,3","263,14","244,8"
